Question Number,Question Status,Question Type,Mandate,Subject,Unit,Panel,Food Sector Area,Deadline,Deadline Type,Acceptance Date,Adoption Date,Clock stop date,Clock start date,Difference (EFSA working days)
EFSA-Q-2014-00409,Finished,Public consultation,M-2014-0140,"Outcome of the public consultation on the discussion paper on the revision of the guidance on the scientific requirements for health claims related to gut and 
immune function",Nutrition,-,Health claims other,30/06/2015,Negotiated Deadline,18/06/2014,06/02/2015,-,-,-
EFSA-Q-2014-00408,Finished,Application,M-2014-0164,Request for EFSA to finalise the reporting table for the basic substance Artemisia vulgaris in accordance with Article 23 of Regulation (EC) No 1107/2009.,Pesticides,-,Pesticides,12/09/2014,Legal Deadline,13/06/2014,22/08/2014,-,-,-
EFSA-Q-2014-00407,Finished,Application,M-2014-0163,Request for EFSA to finalise the reporting table for the basic substance lecithins in accordance with Article 23 of Regulation (EC) No 1107/2009.,Pesticides,-,Pesticides,12/09/2014,Legal Deadline,13/06/2014,22/08/2014,-,-,-
EFSA-Q-2014-00406,Finished,Application,M-2014-0160,Request for the evaluation of Alimpet recycling process for poly(ethylene terephtalate) for direct food application,Food Ingredients and Packaging,CEF,Food contact materials,14/03/2015,Legal Deadline,23/07/2014,27/01/2015,29/09/2014,18/11/2014,36
EFSA-Q-2014-00405,Finished,Application,M-2014-0159,"0418_ES - Art. 13.5 Claim, Reg.(EC) No 1924/2006 - FRUIT UP® induces a lower blood glucose rise than high glycaemic carbohydrates",Nutrition,NDA,Health claims Art. 13/5,19/04/2015,Legal Deadline,29/09/2014,22/04/2015,10/12/2014,19/12/2014,7
EFSA-Q-2014-00405,Finished,Application,M-2014-0159,"0418_ES - Art. 13.5 Claim, Reg.(EC) No 1924/2006 - FRUIT UP® induces a lower blood glucose rise than high glycaemic carbohydrates",Nutrition,NDA,Health claims Art. 13/5,19/04/2015,Legal Deadline,29/09/2014,22/04/2015,29/01/2015,11/02/2015,9
EFSA-Q-2014-00404,Finished,Application,M-2014-0158,"0417_UK - Art. 14 Claim, Reg.(EC) No 1924/2006 - Colief/lactase enzyme reduces the lactose load of the infant's feed and improves the consequences of lactose maldigestion in colicky infants unable to effectively digest all the lactose in their feed",Nutrition,NDA,Health claims Art. 14,15/08/2015,Legal Deadline,11/08/2014,30/06/2015,24/09/2014,20/11/2014,41
EFSA-Q-2014-00404,Finished,Application,M-2014-0158,"0417_UK - Art. 14 Claim, Reg.(EC) No 1924/2006 - Colief/lactase enzyme reduces the lactose load of the infant's feed and improves the consequences of lactose maldigestion in colicky infants unable to effectively digest all the lactose in their feed",Nutrition,NDA,Health claims Art. 14,15/08/2015,Legal Deadline,11/08/2014,30/06/2015,30/01/2015,13/03/2015,30
EFSA-Q-2014-00403,Finished,Application,M-2014-0157,"0416_BE - Art. 13.5 Claim, Reg.(EC) No 1924/2006 - Orafti®Inulin improves bowel function",Nutrition,NDA,Health claims Art. 13/5,24/01/2015,Legal Deadline,02/07/2014,11/12/2014,11/07/2014,25/07/2014,10
EFSA-Q-2014-00403,Finished,Application,M-2014-0157,"0416_BE - Art. 13.5 Claim, Reg.(EC) No 1924/2006 - Orafti®Inulin improves bowel function",Nutrition,NDA,Health claims Art. 13/5,24/01/2015,Legal Deadline,02/07/2014,11/12/2014,23/10/2014,04/11/2014,8
EFSA-Q-2014-00402,In progress,Application,M-2014-0156,Request for EFSA to perform a scientific risk assessment on a food enzyme: Polygalacturonase from a genetically modified strain of A. niger (EPG),Food Ingredients and Packaging,CEF,Enzymes,01/02/2016,Negotiated Deadline,22/07/2014,-,10/03/2015,11/05/2015,40
EFSA-Q-2014-00402,In progress,Application,M-2014-0156,Request for EFSA to perform a scientific risk assessment on a food enzyme: Polygalacturonase from a genetically modified strain of A. niger (EPG),Food Ingredients and Packaging,CEF,Enzymes,01/02/2016,Negotiated Deadline,22/07/2014,-,17/06/2015,26/08/2015,50
EFSA-Q-2014-00401,In progress,Application,M-2014-0156,Request for EFSA to perform a scientific risk assessment on a food enzyme: Asparaginase from a genetically modified strain of A. niger (AGN),Food Ingredients and Packaging,CEF,Enzymes,21/11/2015,Legal Deadline,22/07/2014,-,19/02/2015,20/04/2015,39
EFSA-Q-2014-00400,Finished,Art 31 – Scientific and technical assistance,M-2009-0033,Metrafenone - Application to set new MRLs in hops.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),27/08/2014,Legal Deadline,17/06/2014,08/04/2015,-,-,-
EFSA-Q-2014-00399,Finished,Art 31 – Scientific and technical assistance,M-2009-0033,"Isopyrazam - Application to set new MRLs in tomato, aubergine and curcubit (edible and inedible peel).",Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),27/08/2014,Legal Deadline,17/06/2014,18/12/2014,-,-,-
EFSA-Q-2014-00398,Finished,Art 31 – Scientific and technical assistance,M-2009-0033,Pyraclostrobin - Application to modify the existing MRLs in turnip and swede.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),27/08/2014,Legal Deadline,17/06/2014,14/10/2014,-,-,-
EFSA-Q-2014-00397,Finished,Art 31 – Scientific and technical assistance,M-2009-0033,"Flonicamid - Application to set new MRLs in peas (without pods), cotton seeds and rye.",Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),27/08/2014,Legal Deadline,17/06/2014,28/04/2015,-,-,-
EFSA-Q-2014-00396,Finished,Art 31 – Scientific and technical assistance,M-2009-0033,"Mepanipyrim - Application to modify the existing MRLs in strawberry, tomato, aubergine (egg plant) and cucumber",Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),27/08/2014,Legal Deadline,17/06/2014,26/02/2015,30/09/2014,17/12/2014,56
EFSA-Q-2014-00395,Finished,Art 31 – Scientific and technical assistance,M-2009-0033,Difenoconazole - Application to modifiy the existing MRLs in basil.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),27/08/2014,Legal Deadline,17/06/2014,23/10/2014,-,-,-
EFSA-Q-2014-00394,Finished,Art 31 – Scientific and technical assistance,M-2009-0033,Copper compounds - Application to set new MRLs in other terrestrial animal products (wild game).,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),27/08/2014,Legal Deadline,17/06/2014,03/10/2014,-,-,-
EFSA-Q-2014-00393,Additional data request,Art 31 – Scientific and technical assistance,M-2009-0033,Abamectin - Application to modify the existing MRLs in celery and fennel.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Clock stopped,17/06/2014,-,07/10/2014,-,-
EFSA-Q-2014-00392,Finished,Art 31 – Scientific and technical assistance,M-2009-0033,Chlorantraniliprole - Application to modify the existing MRLs in various crops.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),27/08/2014,Legal Deadline,17/06/2014,18/08/2015,-,-,-
EFSA-Q-2014-00391,Withdrawn,Art 31 – Scientific and technical assistance,M-2009-0033,Picoxystrobin - Application to set new MRLs in rice.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Legal Deadline,17/06/2014,15/12/2014,14/11/2014,12/12/2014,20
EFSA-Q-2014-00390,Finished,Art 31 – Scientific and technical assistance,M-2009-0033,Dazomet - Application to set new MRLs in various crops.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),27/08/2014,Legal Deadline,17/06/2014,13/03/2015,-,-,-
EFSA-Q-2014-00389,Additional data request,Application,M-2013-0308,FL 13.138 1-(2-furyl)butan-3-one,Food Ingredients and Packaging,CEF,Flavourings,-,Clock stopped,10/12/2013,-,01/04/2015,-,-
EFSA-Q-2014-00388,Additional data request,Application,M-2013-0308,FL 13.045 1-(2-furyl)-propan-2-one,Food Ingredients and Packaging,CEF,Flavourings,-,Clock stopped,10/12/2013,-,01/04/2015,-,-
EFSA-Q-2014-00387,Finished,Application,M-2014-0155,FL 09.900 Myrtenyl-3-methylbutyrate,Food Ingredients and Packaging,CEF,Flavourings,26/06/2015,Negotiated Deadline,26/09/2014,24/06/2015,-,-,-
EFSA-Q-2014-00386,Finished,Application,M-2014-0155,FL 09.899 Myrtenyl-2-methylbutyrate,Food Ingredients and Packaging,CEF,Flavourings,26/06/2015,Negotiated Deadline,26/09/2014,24/06/2015,-,-,-
EFSA-Q-2014-00385,Finished,Application,M-2014-0155,FL 09.302 Myrtenyl acetate,Food Ingredients and Packaging,CEF,Flavourings,26/06/2015,Negotiated Deadline,26/09/2014,24/06/2015,-,-,-
EFSA-Q-2014-00384,Finished,Application,M-2014-0155,"FL 09.278 p-Mentha-1,8-dien-7-yl acetate",Food Ingredients and Packaging,CEF,Flavourings,26/06/2015,Negotiated Deadline,26/09/2014,24/06/2015,-,-,-
EFSA-Q-2014-00383,Finished,Application,M-2014-0155,FL 09.272 Myrtenyl formate,Food Ingredients and Packaging,CEF,Flavourings,26/06/2015,Negotiated Deadline,26/09/2014,24/06/2015,-,-,-
EFSA-Q-2014-00382,Finished,Application,M-2014-0155,"FL 05.121 2,6,6-Trimethyl-l-cyclohexen-l-carboxaldehyde",Food Ingredients and Packaging,CEF,Flavourings,26/06/2015,Negotiated Deadline,26/09/2014,24/06/2015,-,-,-
EFSA-Q-2014-00381,Finished,Application,M-2014-0155,FL 05.106 Myrtenal,Food Ingredients and Packaging,CEF,Flavourings,26/06/2015,Negotiated Deadline,26/09/2014,24/06/2015,-,-,-
EFSA-Q-2014-00380,Finished,Application,M-2014-0155,FL 02.091 Myrtenol,Food Ingredients and Packaging,CEF,Flavourings,26/06/2015,Negotiated Deadline,26/09/2014,24/06/2015,-,-,-
EFSA-Q-2014-00379,Finished,Application,M-2014-0155,"FL 02.060 p-Mentha-1,8-dien-7-ol",Food Ingredients and Packaging,CEF,Flavourings,26/06/2015,Negotiated Deadline,26/09/2014,24/06/2015,-,-,-
EFSA-Q-2014-00378,Finished,Application,M-2014-0155,"FL 05.117 p-Mentha-1,8-dien-7-al",Food Ingredients and Packaging,CEF,Flavourings,26/06/2015,Negotiated Deadline,26/09/2014,24/06/2015,-,-,-
EFSA-Q-2014-00377,Finished,Application,M-2014-0154,Request for EFSA to finalise the reporting table for the basic substance vinegar in accordance with Article 23 of Regulation (EC) No 1107/2009.,Pesticides,-,Pesticides,31/07/2014,Legal Deadline,05/06/2014,31/07/2014,-,-,-
EFSA-Q-2014-00376,Finished,Application,M-2014-0153,Request for an EFSA peer review (EFSA Conclusion) on the active substance pyraflufen-ethyl according to Article 16 of Regulation (EU) No 1141/2010.,Pesticides,-,Pesticides,25/02/2015,Legal Deadline,05/06/2014,22/01/2015,05/06/2014,01/09/2014,60
EFSA-Q-2014-00375,Additional data request,Application,M-2014-0152,"Levucell SC 20, Levucell SC10 ME and/or TITAN (Saccharomyces cerevisiae CNCM I-1077) for dairy cows for milk production and cattle for fattening",FEED,FEEDAP,Feed additives - applications under 1831/2003,-,Clock stopped,09/10/2014,-,20/10/2014,-,-
EFSA-Q-2014-00374,In progress,Art 31 – Scientific and technical assistance,M-2009-0007,Ipconazole  – Review of all existing MRLs,Pesticides,-,Pesticides MRL Review (Reg. 396/2005 - Art. 12.1),31/08/2015,Legal Deadline,27/05/2014,-,-,-,-
EFSA-Q-2014-00373,Finished,Application,M-2014-0151,"Request for safety evaluation of Fernholz recycling process: PET for direct food contact, Starlinger viscotec deCON process (technology: deCON)",Food Ingredients and Packaging,CEF,Food contact materials,21/01/2015,Legal Deadline,21/07/2014,11/12/2014,-,-,-
EFSA-Q-2014-00372,Finished,Art 31 – Scientific and technical assistance,M-2014-0147,Request for urgent scientific and technical advice on the scientific validity and robustness of the provided information on iron oxides”.,Food Ingredients and Packaging,-,Food additives,04/07/2014,Negotiated Deadline,10/06/2014,03/07/2014,-,-,-
EFSA-Q-2014-00371,Finished,Public consultation,M-2012-0195,Public consultation on the EFSA-Q-2012-00625 draft guidance on statistical reporting,Assessment and methodological support,-,RA methodology,31/12/2014,Negotiated Deadline,25/05/2012,11/11/2014,-,-,-
EFSA-Q-2014-00370,In progress,Art 31 – Scientific and technical assistance,M-2009-0007,Pseudomonas sp. strain DSMZ 13134– Review of all existing MRLs,Pesticides,-,Pesticides MRL Review (Reg. 396/2005 - Art. 12.1),31/01/2015,Legal Deadline,30/08/2013,-,-,-,-
EFSA-Q-2014-00369,In progress,Art 31 – Scientific and technical assistance,M-2009-0007,Aureobasidium pullulans (strains DSM 14940 and DSM 14941)  – Review of all existing MRLs,Pesticides,-,Pesticides MRL Review (Reg. 396/2005 - Art. 12.1),31/01/2015,Legal Deadline,30/08/2013,-,-,-,-
EFSA-Q-2014-00368,Finished,Application,M-2011-0305,"Overall opinion on application for authorisation of genetically modified oilseed rape MON 88302 for food and feed uses, import and processing submitted under Regulation (EC) No 1829/2003 by Monsanto (EFSA-GMO-BE-2011-101)",GMO,GMO,GMOs applications under Reg. 1829/2003,28/04/2014,Legal Deadline,30/03/2012,12/06/2014,-,-,-
EFSA-Q-2014-00367,In progress,Assistance,M-2011-0160,"Support the FIP Unit in the exposure assessment of tocopherolrich extract (E 306), alpha-tocopherol (E 307), gamma-tocopherol(E 308) and delta-tocopherol (E 309) as food additives.",Evidence management,-,Food additives,31/12/2015,Negotiated Deadline,20/05/2014,-,-,-,-
EFSA-Q-2014-00366,Finished,Application,M-2014-0146,"0415_DE - Art 14 Claim, Reg.(EC) No 1924/2006 -""Symbiosal has been shown to lower the rising of blood pressure when used as a replacement of traditional table salt. The rising of blood pressure is a risk factor for hypertension""",Nutrition,NDA,Health claims Art. 14,16/09/2015,Legal Deadline,03/09/2014,11/06/2015,30/10/2014,22/12/2014,37
EFSA-Q-2014-00366,Finished,Application,M-2014-0146,"0415_DE - Art 14 Claim, Reg.(EC) No 1924/2006 -""Symbiosal has been shown to lower the rising of blood pressure when used as a replacement of traditional table salt. The rising of blood pressure is a risk factor for hypertension""",Nutrition,NDA,Health claims Art. 14,16/09/2015,Legal Deadline,03/09/2014,11/06/2015,19/02/2015,15/04/2015,36
EFSA-Q-2014-00365,Finished,Public consultation,M-2005-0015,Outcome of the Public consultation on the draft Scientific Opinion on Dietary Reference Values for Chromium,Nutrition,-,Dietary reference values,30/06/2015,Negotiated Deadline,06/06/2014,03/10/2014,-,-,-
EFSA-Q-2014-00364,Finished,Public consultation,M-2013-0002,Public consultation of the draft scientific opinion on acrylamide in food,Biological hazards and contaminants,-,Contaminants in Food,30/06/2015,Negotiated Deadline,11/01/2013,21/05/2015,-,-,-
EFSA-Q-2014-00363,Finished,Advice,M-2014-0143,Organisation of a Scientific Colloquium on the harmonisation of human and ecological risk assessment of combined exposure to multiple chemicals,Scientific Committee & Emerging Risks,-,Other areas,31/03/2015,Negotiated Deadline,15/05/2014,25/03/2015,-,-,-
EFSA-Q-2014-00362,Finished,Application,M-2014-0142,Request for the evaluation of Greentech PET recycling process (EREMA advanced),Food Ingredients and Packaging,CEF,Food contact materials,28/02/2015,Legal Deadline,09/07/2014,27/01/2015,29/09/2014,18/11/2014,36
EFSA-Q-2014-00361,Finished,Art 29 – Scientific opinion,M-2014-0141,Scientific opinion on Porcine Epidemic Diarrhoea (PED)and emerging pig Deltacoronavirus,Animal and plant health,AHAW,Animal welfare,15/10/2014,Negotiated Deadline,22/10/2014,22/10/2014,-,-,-
EFSA-Q-2014-00360,In progress,Art 31 – Scientific and technical assistance,M-2009-0007,Acequinocyl – Review of all existing MRLs,Pesticides,-,Pesticides MRL Review (Reg. 396/2005 - Art. 12.1),31/08/2015,Legal Deadline,15/05/2014,-,-,-,-
EFSA-Q-2014-00359,In progress,Art 31 – Scientific and technical assistance,M-2009-0007,Bacillus pumilus QST 2808 – Review of all existing MRLs,Pesticides,-,Pesticides MRL Review (Reg. 396/2005 - Art. 12.1),31/08/2015,Legal Deadline,13/05/2014,-,-,-,-
EFSA-Q-2014-00358,Finished,Art 31 – Scientific and technical assistance,M-2014-0130,Fosetyl - Request to assess consumer health risks for proposed temporary MRLs,Pesticides,-,Pesticides MRL Request (Reg. 396/2005 - Art. 43),16/05/2014,Negotiated Deadline,16/05/2014,19/05/2014,-,-,-
EFSA-Q-2014-00357,In progress,Procurement,M-2014-0071,Procurement on testing a procedure for the identification of emerging chemical risks in the food and feed chain (250.000€),Scientific Committee & Emerging Risks,-,Emerging risks,31/05/2016,Negotiated Deadline,28/02/2014,-,-,-,-
EFSA-Q-2014-00356,In progress,Application,M-2014-0137,Request for EFSA to perform a scientific risk assessment on a food enzyme: beta-glucanase from D. dimorphosporum (strain DXL),Food Ingredients and Packaging,CEF,Enzymes,20/10/2015,Negotiated Deadline,03/07/2014,-,28/05/2015,14/07/2015,32
EFSA-Q-2014-00355,In progress,Application,M-2014-0137,"Request for EFSA to perform a scientific risk assessment on a food enzyme: endo-1,4-beta-xylanase  from D. dimorphosporum (DXL)",Food Ingredients and Packaging,CEF,Enzymes,20/10/2015,Negotiated Deadline,03/07/2014,-,28/05/2015,14/07/2015,32
EFSA-Q-2014-00354,In progress,Application,M-2014-0137,Request for EFSA to perform a scientific risk assessment on a food enzyme: Leucyl aminopeptidase from R.oryzae (AE-PER),Food Ingredients and Packaging,CEF,Enzymes,14/01/2016,Negotiated Deadline,14/11/2014,-,-,-,-
EFSA-Q-2014-00353,In progress,Art 29 – Scientific opinion,M-2014-0140,Updating of NDA Panel guidance on scientific requirements for health claims related to gut and immune function,Nutrition,NDA,Health claims other,31/12/2015,Negotiated Deadline,12/06/2014,-,-,-,-
EFSA-Q-2014-00352,In progress,Application,M-2014-0139,Benzoic acid for all animal species and pigs for fattening,FEED,FEEDAP,Feed additives - applications under 1831/2003,17/10/2015,Legal Deadline,23/09/2014,-,18/12/2014,14/07/2015,132
EFSA-Q-2014-00351,In progress,Art 29 – Scientific opinion,M-2014-0109,Development of fit for purpose risk assessment methodologies and process to update EU listing of regulated plant pests,Animal and plant health,PLH,Plant Health,31/12/2015,Negotiated Deadline,-,-,-,-,-
EFSA-Q-2014-00350,Withdrawn,Application,M-2014-0138,Salinomax® 120G (Salinomycin sodium 120 g/kg) for chickens for fattening,FEED,FEEDAP,Feed additives - applications under 1831/2003,15/12/2015,Legal Deadline,03/12/2014,21/08/2015,19/12/2014,09/06/2015,106
EFSA-Q-2014-00350,Withdrawn,Application,M-2014-0138,Salinomax® 120G (Salinomycin sodium 120 g/kg) for chickens for fattening,FEED,FEEDAP,Feed additives - applications under 1831/2003,15/12/2015,Legal Deadline,03/12/2014,21/08/2015,29/07/2015,21/08/2015,17
EFSA-Q-2014-00349,Finished,Application,M-2013-0043,"FL 07.136 4,4a,5,6-Tetrahydro-7-methylnapthalen-2(3H)-one",Food Ingredients and Packaging,CEF,Flavourings,30/11/2014,Negotiated Deadline,07/05/2014,25/09/2014,-,-,-
EFSA-Q-2014-00348,Finished,Application,M-2013-0043,FL 07.089 Nootkatone,Food Ingredients and Packaging,CEF,Flavourings,30/11/2014,Negotiated Deadline,07/05/2014,25/09/2014,-,-,-
EFSA-Q-2014-00347,Finished,Application,M-2013-0043,FL 09.305 beta-Ionyl acetate,Food Ingredients and Packaging,CEF,Flavourings,30/11/2014,Negotiated Deadline,07/05/2014,24/09/2014,-,-,-
EFSA-Q-2014-00346,Additional data request,Application,M-2013-0043,"FL 07.127 p-Mentha-1,4(8)-dien-3-one",Food Ingredients and Packaging,CEF,Flavourings,-,Clock stopped,07/05/2014,-,18/06/2015,-,-
EFSA-Q-2014-00345,Finished,Application,M-2013-0176,"FL 07.224 tr-1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)but-2-en-1-one",Food Ingredients and Packaging,CEF,Flavourings,30/11/2014,Negotiated Deadline,07/05/2014,18/11/2014,-,-,-
EFSA-Q-2014-00344,Finished,Application,M-2013-0043,"FL 07.200 4-(2,5,6,6-Tetramethyl-1-cyclohexenyl)but-3-en-2-one",Food Ingredients and Packaging,CEF,Flavourings,30/11/2014,Negotiated Deadline,07/05/2014,18/11/2014,-,-,-
EFSA-Q-2014-00343,Finished,Application,M-2013-0043,FL 07.041 beta-Isomethylionone,Food Ingredients and Packaging,CEF,Flavourings,30/11/2014,Negotiated Deadline,07/05/2014,18/11/2014,-,-,-
EFSA-Q-2014-00342,Finished,Application,M-2013-0043,"FL 07.109 2,6,6-trimethylcyclohex-2-en-1,4-dione",Food Ingredients and Packaging,CEF,Flavourings,30/11/2014,Negotiated Deadline,07/05/2014,25/09/2014,-,-,-
EFSA-Q-2014-00341,Additional data request,Application,M-2014-0136,FL 09.219 Isopulegyl acetate,Food Ingredients and Packaging,CEF,Flavourings,-,Clock stopped,17/06/2014,-,14/11/2014,09/03/2015,73
EFSA-Q-2014-00341,Additional data request,Application,M-2014-0136,FL 09.219 Isopulegyl acetate,Food Ingredients and Packaging,CEF,Flavourings,-,Clock stopped,17/06/2014,-,18/06/2015,-,-
EFSA-Q-2014-00340,Additional data request,Application,M-2014-0136,FL 07.067 Isopulegone,Food Ingredients and Packaging,CEF,Flavourings,-,Clock stopped,17/06/2014,-,14/11/2014,09/03/2015,73
EFSA-Q-2014-00340,Additional data request,Application,M-2014-0136,FL 07.067 Isopulegone,Food Ingredients and Packaging,CEF,Flavourings,-,Clock stopped,17/06/2014,-,18/06/2015,-,-
EFSA-Q-2014-00339,Additional data request,Application,M-2014-0136,FL 02.067 Isopulegol,Food Ingredients and Packaging,CEF,Flavourings,-,Clock stopped,17/06/2014,-,14/11/2014,09/03/2015,73
EFSA-Q-2014-00339,Additional data request,Application,M-2014-0136,FL 02.067 Isopulegol,Food Ingredients and Packaging,CEF,Flavourings,-,Clock stopped,17/06/2014,-,18/06/2015,-,-
EFSA-Q-2014-00338,Additional data request,Application,M-2014-0135,Fl 11.008 2-aminoacetophenone,Food Ingredients and Packaging,CEF,Flavourings,-,Clock stopped,11/08/2014,-,26/02/2015,-,-
EFSA-Q-2014-00337,Finished,Application,M-2014-0134,Request for the evaluation of Eurocast Sp. zo.o.recycling process: PET for direct food contact deCON50technology,Food Ingredients and Packaging,CEF,Food contact materials,06/02/2015,Legal Deadline,06/08/2014,11/12/2014,-,-,-
EFSA-Q-2014-00336,In progress,Application,M-2012-0276,Pesticide risk assessment and peer review of abamectin in accordance with Article 12 of Regulation (EC) No 1107/2009 (application for amendment),Pesticides,-,Pesticides,01/01/2016,Legal Deadline,14/04/2015,-,-,-,-
EFSA-Q-2014-00335,In progress,Application,M-2012-0276,Pesticide risk assessment and peer review of 8-hydroxyquinoline  in accordance with Article 12 of Regulation (EC) No 1107/2009 (application for amendment),Pesticides,-,Pesticides,27/11/2015,Legal Deadline,27/03/2015,-,-,-,-
EFSA-Q-2014-00334,Finished,Application,M-2012-0276,Pesticide risk assessment and peer review of trichoderma atroviride strain SC1 in accordance with Article 12 of Regulation (EC) No 1107/2009 (application for approval),Pesticides,-,Pesticides peer review - new active substances,26/04/2015,Legal Deadline,27/05/2014,20/04/2015,29/09/2014,13/02/2015,91
EFSA-Q-2014-00333,Additional data request,Application,M-2012-0276,Pesticide risk assessment and peer review of saccharomyces cerevisiae strain LAS02 in accordance with Article 12 of Regulation (EC) No 1107/2009 (application for approval),Pesticides,-,Pesticides peer review - new active substances,-,Clock stopped,09/12/2014,-,10/04/2015,-,-
EFSA-Q-2014-00332,Finished,Application,M-2012-0276,Pesticide risk assessment and peer review of  reynoutria sachalinensis (giant Knotweed) in accordance with Article 12 of Regulation (EC) No 1107/2009 (application for approval),Pesticides,-,Pesticides peer review - new active substances,28/08/2015,Legal Deadline,24/07/2014,25/08/2015,24/11/2014,29/05/2015,119
EFSA-Q-2014-00331,Additional data request,Application,M-2012-0276,Pesticide risk assessment and peer review of oxathiapiprolin in accordance with Article 12 of Regulation (EC) No 1107/2009 (application for approval),Pesticides,-,Pesticides peer review - new active substances,-,Clock stopped,12/02/2015,-,21/07/2015,-,-
EFSA-Q-2014-00330,In progress,Application,M-2012-0276,Pesticide risk assessment and peer review of isofetamid in accordance with Article 12 of Regulation (EC) No 1107/2009 (application for approval),Pesticides,-,Pesticides peer review - new active substances,16/10/2015,Legal Deadline,15/10/2014,-,09/02/2015,13/07/2015,102
EFSA-Q-2014-00329,Under Consideration,Application,M-2012-0276,Pesticide risk assessment and peer review of dimethyl disulphide (DMDS) in accordance with Article 12 of Regulation (EC) No 1107/2009 (application for approval),Pesticides,-,Pesticides peer review - new active substances,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2014-00328,In progress,Application,M-2012-0276,Pesticide risk assessment and peer review of cyclaniliprole(IKI-3106 in accordance with Article 12 of Regulation (EC) No 1107/2009 (application for approval),Pesticides,-,Pesticides peer review - new active substances,27/11/2015,Legal Deadline,01/04/2015,-,-,-,-
EFSA-Q-2014-00327,In progress,Application,M-2012-0276,Pesticide risk assessment and peer review of beauveria bassiana strain NPP111B005 in accordance with Article 12 of Regulation (EC) No 1107/2009 (application for approval),Pesticides,-,Pesticides peer review - new active substances,07/10/2015,Legal Deadline,09/10/2014,-,02/02/2015,03/07/2015,101
EFSA-Q-2014-00326,In progress,Application,M-2014-0133,Request for EFSA to perform a scientific risk assessment on a food enzyme: AMP deaminase from A. melleus (AE-DN),Food Ingredients and Packaging,CEF,Enzymes,14/12/2015,Negotiated Deadline,14/11/2014,-,-,-,-
EFSA-Q-2014-00325,In progress,Application,M-2014-0133,Request for EFSA to perform a scientific risk assessment on a food enzyme: Triacylglycerol lipase from a genetically modified strain of A. niger (LFS),Food Ingredients and Packaging,CEF,Enzymes,09/01/2016,Negotiated Deadline,24/11/2014,-,19/05/2015,04/06/2015,10
EFSA-Q-2014-00324,In progress,Application,M-2012-0276,Pesticide risk assessment and peer review of beauveria bassiana strain 147 in accordance with Article 12 of Regulation (EC) No 1107/2009 (application for approval),Pesticides,-,Pesticides peer review - new active substances,07/10/2015,Legal Deadline,08/10/2014,-,02/02/2015,03/07/2015,101
EFSA-Q-2014-00323,Additional data request,Application,M-2012-0276,Pesticide risk assessment and peer review of bacillus amyloliquefaciens MBI 600 in accordance with Article 12 of Regulation (EC) No 1107/2009 (application for approval),Pesticides,-,Pesticides peer review - new active substances,-,Clock stopped,05/01/2015,-,24/04/2015,-,-
EFSA-Q-2014-00322,Additional data request,Application,M-2012-0276,Pesticide risk assessment and peer review of Bacillus amyloliquefaciens FZB24 in accordance with Article 12 of Regulation (EC) No 1107/2009 (application for approval),Pesticides,-,Pesticides peer review - new active substances,-,Clock stopped,13/04/2015,-,10/09/2015,-,-
EFSA-Q-2014-00321,Finished,Art 31 – Scientific and technical assistance,M-2014-0132,"Request for a scientific statement on the increase of risk for public health related to a possible temporary derogation from the maximum level of deoxynivalenol, zearalenone and fumonisins for maize and maize products",Biological hazards and contaminants,-,Contaminants in Food,21/05/2014,Negotiated Deadline,21/05/2014,21/05/2014,-,-,-
EFSA-Q-2014-00320,In progress,Art 36 – Scientific co-operation,M-2014-0131,Occurrence of Tropane Alkaloids in food,Biological hazards and contaminants,-,Contaminants in Food,08/10/2016,Negotiated Deadline,05/05/2014,-,-,-,-
EFSA-Q-2014-00319,Finished,Art 31 – Scientific and technical assistance,M-2009-0033,Trifloxystrobin - Application to set new MRLs in in cane fruit.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),05/08/2014,Legal Deadline,16/05/2014,26/06/2014,-,-,-
EFSA-Q-2014-00318,Additional data request,Art 31 – Scientific and technical assistance,M-2009-0033,Triclopyr - Application to modify the existing MRLs in citrus.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Clock stopped,16/05/2014,-,12/02/2015,-,-
EFSA-Q-2014-00317,Finished,Art 31 – Scientific and technical assistance,M-2009-0033,Cyazofamid - Application to set new MRLs in aubergines.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),05/08/2014,Legal Deadline,16/05/2014,18/12/2014,10/09/2014,25/11/2014,54
